"Source Name"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[developmental stage]"	"Characteristics[strain]"	"Term Source REF"	"Term Accession Number"	"Characteristics[genetic alteration]"	"Characteristics[phenotype]"	"Characteristics[sex]"	"Term Source REF"	"Term Accession Number"	"Characteristics[dob]"	"Characteristics[age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[weight]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[model description]"	"Protocol REF"	"Parameter Value[housing]"	"Parameter Value[cage number]"	"Parameter Value[light cycle]"	"Parameter Value[feed type]"	"Parameter Value[feed manufacturer]"	"Parameter Value[diet availability]"	"Parameter Value[water supply type]"	"Parameter Value[water type]"	"Protocol REF"	"Parameter Value[compound]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[route]"	"Parameter Value[dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[dose volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[duration of dosing]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[vehicle]"	"Protocol REF"	"Performer"	"Date"	"Parameter Value[collection time]"	"Parameter Value[euthanasia]"	"Parameter Value[processing]"	"Parameter Value[quantity taken]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[storage temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Characteristics[organism part]"	"Term Source REF"	"Term Accession Number"	"Comment[sample description]"
"D3-6-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"73.75"	"week"	"EFO"	"obo:UO_0000034"	"24.7"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"854026"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"4"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP36"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D5-4-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"67.25"	"week"	"EFO"	"obo:UO_0000034"	"23.5"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"858213"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"0"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP37"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D3-7-2-3"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"58.5"	"week"	"EFO"	"obo:UO_0000034"	"27.8"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"866522"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"0"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP38"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D3-4-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"93"	"week"	"EFO"	"obo:UO_0000034"	"24.6"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"835610"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"16"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP39"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D4-3-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"79.25"	"week"	"EFO"	"obo:UO_0000034"	"20.9"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"842601"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"12"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP40"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D6-3-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"58.5"	"week"	"EFO"	"obo:UO_0000034"	"25.7"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"866524"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"4"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP41"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D8-2-2-4"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"62.5"	"week"	"EFO"	"obo:UO_0000034"	"21"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"866157"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"0"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP42"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D3-4-2-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"93"	"week"	"EFO"	"obo:UO_0000034"	"21.7"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"835610"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"16"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP43"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D9-3-2-2"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"WT"	""	"female"	"EFO"	"0001265"	""	"58.5"	"week"	"EFO"	"obo:UO_0000034"	"21.6"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"871390"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"8"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP44"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D6-4-2-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"51.25"	"week"	"EFO"	"obo:UO_0000034"	"22"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"878254"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"12"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP45"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D9-2-2-5"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"69.75"	"week"	"EFO"	"obo:UO_0000034"	"23.6"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"858211"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"4"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP46"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D9-3-2-1"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"58.5"	"week"	"EFO"	"obo:UO_0000034"	"34.5"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"871390"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"8"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP47"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
"D6-4-2-4"	"Mus musculus"	"NCBITaxon"	"obo:NCBITaxon_10090"	""	"C57BL/6J"	"EFO"	"efo:EFO_0000606"	"KO"	""	"female"	"EFO"	"0001265"	""	"51.25"	"week"	"EFO"	"obo:UO_0000034"	"20.6"	"gram"	"EFO"	"obo:UO_0000021"	""	"growth protocol"	"group"	"878254"	""	""	""	""	""	""	"treatment protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sample collection"	""	""	"12"	"CO2"	""	"50"	"milligram"	"EFO"	"obo:UO_0000022"	"-80"	"degree Celsius"	"UO"	"UO:0000027"	"13015GP48"	"liver"	"EFO"	"obo:UBERON_0002107"	""	""	""	""
